customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,avg_call_duration,data_usage_gb,login_frequency,churned
CUST_000025,28,1,72.68,116.7,Month-to-month,Credit card,Fiber optic,2,0.5,12.43,9,1
CUST_000026,36,15,63.72,972.44,One year,Bank transfer,Fiber optic,2,5.9,3.52,14,0
CUST_000027,21,6,80.64,468.07,Month-to-month,Credit card,DSL,2,6.0,3.81,14,1
CUST_000028,39,15,59.42,902.85,One year,Bank transfer,No,0,0.5,23.48,19,0
CUST_000029,27,14,57.32,868.22,Two year,Bank transfer,No,2,0.3,92.13,18,0
CUST_000030,31,20,99.23,1956.07,One year,Credit card,Fiber optic,0,0.0,7.64,10,1
CUST_000031,27,10,62.53,645.45,Month-to-month,Mailed check,DSL,2,5.9,8.98,16,1
CUST_000032,57,4,85.66,339.12,One year,Electronic check,Fiber optic,2,5.0,27.12,17,1
CUST_000033,34,16,59.37,971.21,One year,Mailed check,Fiber optic,4,22.6,20.84,8,1
CUST_000034,22,42,106.67,4447.27,Month-to-month,Bank transfer,Fiber optic,2,3.4,26.73,17,0
CUST_000035,44,26,48.04,1254.6,Month-to-month,Electronic check,Fiber optic,2,8.6,33.71,14,0
CUST_000036,20,9,49.65,502.21,Two year,Electronic check,DSL,2,0.1,19.72,19,0
CUST_000037,37,65,103.11,6655.49,Month-to-month,Electronic check,Fiber optic,0,8.7,23.03,12,0
CUST_000038,18,58,53.88,3058.36,Month-to-month,Electronic check,Fiber optic,3,19.6,6.51,14,0
CUST_000039,19,5,105.03,460.56,Month-to-month,Bank transfer,No,3,3.5,13.22,13,0
CUST_000040,37,1,87.3,87.3,One year,Electronic check,DSL,2,3.0,70.96,18,1
CUST_000041,43,32,61.13,1986.05,Two year,Electronic check,DSL,1,7.9,32.18,16,0
CUST_000042,37,42,19.67,755.75,One year,Bank transfer,No,4,3.2,26.55,17,0
CUST_000043,33,72,64.52,4630.33,Month-to-month,Credit card,DSL,2,4.1,8.39,11,0
CUST_000044,31,52,67.54,3543.03,One year,Electronic check,Fiber optic,1,2.6,8.99,13,1
CUST_000045,18,22,94.18,2092.8,One year,Electronic check,DSL,3,3.4,6.86,17,1
CUST_000046,26,18,104.71,1865.52,One year,Credit card,Fiber optic,1,9.1,3.21,19,0
CUST_000047,29,1,47.88,57.42,Month-to-month,Mailed check,Fiber optic,2,20.4,15.35,11,0
CUST_000048,47,6,85.03,515.53,One year,Credit card,Fiber optic,1,7.0,13.61,12,0
CUST_000049,39,14,84.14,1166.68,Month-to-month,Electronic check,No,1,0.1,24.16,23,0
CUST_000050,18,23,91.84,2101.67,Month-to-month,Electronic check,DSL,3,2.5,56.59,9,1
CUST_000051,38,19,77.47,1583.65,One year,Electronic check,DSL,0,24.3,10.74,14,1
CUST_000052,30,32,16.44,566.47,Two year,Electronic check,Fiber optic,1,19.3,70.04,21,0
CUST_000053,26,7,61.11,551.83,Month-to-month,Credit card,Fiber optic,1,1.0,33.6,21,0
CUST_000054,42,19,36.11,661.19,Two year,Credit card,Fiber optic,2,19.1,83.26,15,0
CUST_000055,47,2,59.93,115.62,Month-to-month,Credit card,DSL,3,26.7,6.43,15,0
CUST_000056,46,12,89.5,1007.39,One year,Credit card,No,2,3.1,64.9,12,0
CUST_000057,24,33,72.63,2356.27,Month-to-month,Credit card,Fiber optic,3,9.7,10.23,14,0
CUST_000058,31,28,93.7,2718.76,Month-to-month,Bank transfer,DSL,2,6.6,9.07,12,1
CUST_000059,38,72,73.54,5269.06,One year,Credit card,Fiber optic,3,3.3,18.93,17,0
CUST_000060,46,7,32.54,323.76,One year,Electronic check,DSL,1,1.3,8.6,16,0
CUST_000061,29,16,15.0,177.83,One year,Mailed check,DSL,1,3.7,30.85,11,0
CUST_000062,32,9,68.72,565.81,One year,Bank transfer,DSL,1,21.0,46.58,11,0
CUST_000063,21,13,59.65,758.41,One year,Credit card,DSL,3,13.3,32.91,16,0
CUST_000064,20,46,40.58,1863.32,Two year,Bank transfer,DSL,3,3.2,18.99,18,0
CUST_000065,44,27,22.48,653.23,Month-to-month,Credit card,Fiber optic,2,6.3,65.33,12,1
CUST_000066,51,51,46.63,2400.74,Month-to-month,Mailed check,Fiber optic,0,4.2,30.83,16,0
CUST_000067,34,5,60.14,279.87,Month-to-month,Bank transfer,Fiber optic,1,5.0,17.37,9,1
CUST_000068,47,49,81.65,3994.03,Month-to-month,Credit card,DSL,2,11.5,17.68,14,0
CUST_000069,39,1,69.72,69.72,One year,Electronic check,No,2,6.3,8.3,21,1
CUST_000070,27,52,105.2,5424.75,Month-to-month,Credit card,Fiber optic,2,1.6,7.66,9,1
CUST_000071,39,9,39.11,307.59,Month-to-month,Bank transfer,No,0,2.5,12.74,15,1
CUST_000072,53,9,87.03,834.63,Month-to-month,Bank transfer,DSL,3,6.7,7.01,20,1
CUST_000073,34,17,66.18,1033.69,One year,Credit card,Fiber optic,3,9.4,6.36,16,0
CUST_000074,53,67,82.37,5599.44,Month-to-month,Mailed check,DSL,2,5.7,8.03,14,0
CUST_000075,18,1,54.09,54.09,Month-to-month,Mailed check,Fiber optic,1,7.7,58.84,19,1
CUST_000076,44,10,91.79,879.29,One year,Bank transfer,DSL,4,12.5,8.95,15,0
CUST_000077,36,46,72.38,3366.5,One year,Electronic check,DSL,2,6.3,45.83,10,0
CUST_000078,31,12,48.01,650.43,Month-to-month,Mailed check,Fiber optic,4,30.2,10.59,16,1
CUST_000079,36,5,64.7,379.38,One year,Electronic check,Fiber optic,1,2.1,24.27,16,0
CUST_000080,18,13,59.01,792.24,Month-to-month,Credit card,Fiber optic,2,20.2,8.9,12,0
CUST_000081,32,11,77.23,903.87,Two year,Electronic check,DSL,2,2.3,24.44,15,0
CUST_000082,39,59,35.51,2009.0,Month-to-month,Mailed check,Fiber optic,0,6.1,195.9,16,0
CUST_000083,52,34,64.27,2158.96,Two year,Credit card,No,1,4.9,10.0,14,0
CUST_000084,28,16,74.88,1152.56,Two year,Credit card,No,2,3.7,14.97,14,0
CUST_000085,25,72,65.83,4800.67,One year,Bank transfer,Fiber optic,5,26.3,6.13,14,0
CUST_000086,28,15,98.67,1460.93,Month-to-month,Bank transfer,Fiber optic,4,2.5,60.31,16,1
CUST_000087,45,1,84.35,126.62,One year,Electronic check,DSL,4,9.0,70.74,9,0
CUST_000088,38,7,64.81,480.48,Month-to-month,Mailed check,DSL,2,13.0,7.91,15,1
CUST_000089,28,13,70.42,872.31,Two year,Electronic check,DSL,3,1.8,17.16,13,0
CUST_000090,41,4,72.39,260.22,One year,Credit card,Fiber optic,1,28.9,30.59,12,0
CUST_000091,36,70,75.08,5320.47,Two year,Electronic check,Fiber optic,4,6.3,21.48,18,0
CUST_000092,46,34,19.36,619.42,One year,Bank transfer,Fiber optic,3,19.7,7.96,22,0
CUST_000093,26,7,57.46,408.48,One year,Mailed check,DSL,2,8.7,7.64,15,0
CUST_000094,31,21,27.89,546.54,One year,Mailed check,Fiber optic,1,8.4,5.86,20,0
CUST_000095,30,30,96.96,2893.01,Month-to-month,Bank transfer,DSL,2,3.4,55.95,12,1
CUST_000096,18,68,63.48,4314.25,Month-to-month,Credit card,Fiber optic,4,11.8,39.0,16,1
CUST_000097,38,51,60.17,3029.35,One year,Electronic check,DSL,3,0.2,106.52,11,0
CUST_000098,38,17,87.42,1438.12,Two year,Mailed check,Fiber optic,2,6.5,7.33,15,0
CUST_000099,35,35,75.56,2658.85,One year,Electronic check,Fiber optic,2,0.3,27.1,15,0
CUST_000100,32,19,36.78,656.66,Two year,Electronic check,DSL,1,2.9,23.01,13,0
CUST_000101,18,19,63.23,1160.79,Two year,Bank transfer,DSL,5,0.8,29.12,17,0
CUST_000102,29,2,56.62,66.29,One year,Electronic check,Fiber optic,3,19.4,36.95,13,0
CUST_000103,30,3,21.39,60.26,Month-to-month,Electronic check,DSL,2,7.9,491.37,17,0
CUST_000104,25,18,47.74,906.56,One year,Credit card,Fiber optic,2,8.8,472.59,10,0
CUST_000105,33,7,60.41,498.21,Month-to-month,Bank transfer,Fiber optic,4,15.2,28.77,17,1
CUST_000106,39,1,62.13,62.13,Month-to-month,Electronic check,DSL,3,10.6,100.97,14,1
CUST_000107,57,30,27.94,945.84,Month-to-month,Electronic check,Fiber optic,1,1.1,8.49,12,0
CUST_000108,37,1,93.79,93.79,Two year,Electronic check,No,2,7.7,18.19,18,0
CUST_000109,38,21,62.45,1365.57,Month-to-month,Mailed check,Fiber optic,3,30.6,9.05,16,0
CUST_000110,34,18,65.94,1150.81,One year,Bank transfer,No,1,1.9,25.84,18,0
CUST_000111,18,72,75.02,5357.61,Two year,Bank transfer,DSL,0,7.7,33.98,20,0
CUST_000112,34,15,45.3,642.23,One year,Electronic check,Fiber optic,0,6.6,200.2,15,0
CUST_000113,35,1,76.41,76.41,One year,Bank transfer,Fiber optic,1,4.0,7.91,8,1
CUST_000114,64,19,55.82,1089.64,One year,Mailed check,No,0,24.7,75.65,16,0
CUST_000115,32,44,42.59,1907.25,Month-to-month,Mailed check,DSL,2,3.5,13.28,13,0
CUST_000116,38,72,79.34,5665.01,Month-to-month,Credit card,DSL,1,0.8,11.49,15,0
CUST_000117,34,13,102.29,1280.31,Two year,Electronic check,DSL,1,26.3,15.87,16,1
CUST_000118,20,9,83.12,702.25,Month-to-month,Electronic check,No,0,10.5,145.57,13,1
CUST_000119,48,56,88.07,4926.6,One year,Credit card,Fiber optic,1,3.4,2.83,16,0
CUST_000120,44,5,51.98,249.41,One year,Electronic check,No,1,2.6,31.57,15,1
CUST_000121,44,22,25.06,503.8,Month-to-month,Electronic check,DSL,1,21.1,61.93,15,1
CUST_000122,24,12,102.25,1240.52,Two year,Bank transfer,DSL,5,2.6,7.64,15,0
CUST_000123,51,1,116.36,229.49,One year,Bank transfer,DSL,2,6.2,34.23,24,1
CUST_000124,18,10,103.57,1010.47,Month-to-month,Credit card,Fiber optic,2,1.9,9.74,19,0
CUST_000125,42,7,56.61,374.56,Two year,Electronic check,Fiber optic,2,42.7,143.0,18,0
CUST_000126,61,27,36.13,1003.6,One year,Mailed check,DSL,3,11.7,5.54,7,0
CUST_000127,23,71,38.36,2695.47,Month-to-month,Electronic check,No,1,6.7,35.85,16,0
CUST_000128,28,7,22.91,193.8,One year,Bank transfer,DSL,1,11.0,13.04,12,0
CUST_000129,36,40,62.32,2456.69,Month-to-month,Electronic check,Fiber optic,2,19.9,17.47,16,1
CUST_000130,28,1,105.14,196.75,One year,Bank transfer,Fiber optic,0,26.4,15.05,20,1
CUST_000131,18,18,61.46,1123.49,Month-to-month,Electronic check,DSL,5,12.3,60.95,14,1
CUST_000132,35,1,72.56,72.56,One year,Electronic check,DSL,2,15.1,24.41,11,0
CUST_000133,22,65,99.39,6430.91,One year,Mailed check,DSL,2,4.1,4.92,14,0
CUST_000134,40,34,54.9,1840.83,Two year,Credit card,DSL,1,4.0,29.41,8,0
CUST_000135,23,25,115.89,2965.84,One year,Credit card,No,0,13.2,26.62,12,0
CUST_000136,53,41,114.8,4643.46,Month-to-month,Credit card,No,4,11.4,57.52,17,1
CUST_000137,25,25,61.72,1509.66,Two year,Mailed check,Fiber optic,0,18.5,28.46,11,1
CUST_000138,31,72,50.56,3612.36,One year,Electronic check,Fiber optic,2,1.1,4.45,17,0
CUST_000139,44,30,82.43,2472.14,One year,Electronic check,DSL,4,9.4,65.95,16,0
CUST_000140,20,62,56.31,3477.78,Month-to-month,Bank transfer,DSL,3,8.3,63.72,17,0
CUST_000141,37,17,36.09,538.9,Two year,Electronic check,Fiber optic,2,12.8,34.33,11,0
CUST_000142,50,2,97.03,174.07,Two year,Electronic check,Fiber optic,1,0.2,27.21,13,1
CUST_000143,18,18,95.41,1712.42,One year,Electronic check,Fiber optic,3,14.0,29.59,14,0
CUST_000144,37,3,68.89,175.26,Two year,Mailed check,Fiber optic,3,3.2,64.65,11,0
CUST_000145,38,21,33.43,736.33,Month-to-month,Electronic check,Fiber optic,0,9.3,79.46,17,1
CUST_000146,44,15,34.26,559.9,Two year,Electronic check,DSL,0,7.7,34.72,20,0
CUST_000147,20,23,67.68,1552.74,Month-to-month,Mailed check,Fiber optic,1,4.6,38.45,11,0
CUST_000148,19,1,52.5,64.03,Month-to-month,Mailed check,Fiber optic,2,11.0,24.87,13,0
CUST_000149,41,5,56.47,174.31,One year,Bank transfer,Fiber optic,7,26.0,225.66,17,0
CUST_000150,38,16,90.55,1427.73,One year,Bank transfer,Fiber optic,1,3.1,2.65,10,0
CUST_000151,38,72,83.33,6049.96,Month-to-month,Electronic check,DSL,2,11.0,10.52,22,1
CUST_000152,39,11,99.45,1072.82,Month-to-month,Credit card,DSL,2,3.0,9.2,22,1
CUST_000153,26,13,40.23,486.18,Month-to-month,Electronic check,Fiber optic,1,14.9,167.0,16,1
CUST_000154,37,30,56.42,1806.49,Month-to-month,Mailed check,Fiber optic,2,4.6,16.4,18,0
CUST_000155,38,22,83.97,1938.39,Month-to-month,Bank transfer,Fiber optic,2,4.8,2.76,8,1
CUST_000156,26,8,76.2,632.99,Month-to-month,Credit card,Fiber optic,0,11.8,9.08,15,0
CUST_000157,57,12,103.31,1296.66,Month-to-month,Bank transfer,Fiber optic,0,5.5,35.69,19,0
CUST_000158,40,5,75.51,266.27,Two year,Electronic check,DSL,2,2.5,21.12,9,0
CUST_000159,20,72,111.2,7967.22,One year,Bank transfer,DSL,2,43.3,18.48,16,0
CUST_000160,42,3,78.5,212.0,Month-to-month,Mailed check,DSL,0,7.7,25.13,15,0
CUST_000161,23,11,91.55,995.3,Two year,Mailed check,DSL,3,8.3,64.14,18,0
CUST_000162,44,1,56.91,56.91,One year,Electronic check,Fiber optic,3,8.3,51.55,14,0
CUST_000163,48,6,65.36,264.64,Month-to-month,Bank transfer,DSL,4,17.2,9.06,9,1
CUST_000164,25,36,87.77,3179.15,Month-to-month,Electronic check,DSL,2,1.6,27.54,14,1
CUST_000165,46,5,105.32,553.8,Month-to-month,Bank transfer,DSL,2,0.5,96.58,14,1
CUST_000166,39,2,83.23,246.56,Month-to-month,Bank transfer,DSL,3,3.9,25.42,19,1
CUST_000167,44,15,62.92,904.4,Month-to-month,Electronic check,No,4,6.7,11.34,18,1
CUST_000168,57,1,99.43,99.43,One year,Credit card,DSL,1,2.7,6.51,13,1
CUST_000169,32,2,15.0,15.0,One year,Bank transfer,Fiber optic,2,9.3,25.92,12,1
CUST_000170,25,39,29.44,1133.64,One year,Electronic check,DSL,1,0.6,16.53,13,0
CUST_000171,24,35,82.04,2916.49,Month-to-month,Electronic check,Fiber optic,6,12.5,16.23,7,1
CUST_000172,25,59,65.35,3825.22,One year,Bank transfer,No,1,10.1,25.3,16,0
CUST_000173,34,46,80.14,3793.51,One year,Mailed check,Fiber optic,7,1.9,10.23,17,1
CUST_000174,39,27,66.61,1785.65,Two year,Credit card,Fiber optic,2,2.8,73.13,14,0
CUST_000175,38,1,79.27,86.62,Month-to-month,Electronic check,DSL,2,13.2,18.71,19,1
CUST_000176,44,36,44.64,1538.88,Two year,Electronic check,DSL,5,11.9,146.35,17,1
CUST_000177,35,44,79.26,3501.9,Two year,Credit card,DSL,2,13.4,56.45,17,0
CUST_000178,52,38,89.86,3315.73,One year,Credit card,DSL,2,3.1,18.62,15,0
CUST_000179,31,17,95.51,1658.42,One year,Electronic check,DSL,2,27.9,5.59,13,0
CUST_000180,67,6,115.34,728.25,Month-to-month,Bank transfer,DSL,3,10.1,38.98,12,1
CUST_000181,42,44,71.1,3196.47,Two year,Electronic check,Fiber optic,2,0.5,32.23,13,0
CUST_000182,24,31,71.85,2176.28,Month-to-month,Bank transfer,Fiber optic,0,5.2,9.97,14,0
CUST_000183,22,72,26.92,1946.32,One year,Credit card,DSL,1,8.7,6.38,18,0
CUST_000184,40,4,51.71,235.05,Month-to-month,Electronic check,DSL,2,1.5,19.82,18,0
CUST_000185,32,6,60.17,383.15,Month-to-month,Electronic check,Fiber optic,3,18.6,25.38,15,1
CUST_000186,43,5,91.26,413.02,One year,Electronic check,Fiber optic,2,11.2,23.57,12,1
CUST_000187,40,37,49.72,1720.22,Two year,Electronic check,DSL,1,0.7,20.15,15,0
CUST_000188,34,4,84.91,356.98,Month-to-month,Electronic check,DSL,3,19.6,66.36,9,1
CUST_000189,24,1,64.96,64.96,Two year,Credit card,Fiber optic,4,4.1,10.64,18,0
CUST_000190,18,72,60.57,4332.76,One year,Electronic check,DSL,0,4.8,133.69,8,1
CUST_000191,29,1,71.22,109.42,Month-to-month,Mailed check,No,1,12.2,3.79,11,1
CUST_000192,45,43,55.22,2372.26,Month-to-month,Credit card,DSL,1,8.3,9.69,17,0
CUST_000193,37,10,54.27,476.78,One year,Mailed check,DSL,1,4.6,6.09,15,0
CUST_000194,20,44,22.38,888.16,Month-to-month,Mailed check,Fiber optic,2,2.4,25.05,17,0
CUST_000195,37,19,58.8,1060.77,Month-to-month,Electronic check,No,3,5.8,29.93,22,0
CUST_000196,39,55,53.0,3034.69,Month-to-month,Bank transfer,Fiber optic,4,6.9,115.98,14,0
CUST_000197,24,62,52.1,3266.37,Month-to-month,Electronic check,DSL,1,8.0,24.88,12,0
CUST_000198,36,1,75.42,84.85,One year,Credit card,DSL,1,7.4,46.84,18,1
CUST_000199,35,1,81.47,81.47,Month-to-month,Electronic check,Fiber optic,2,7.7,6.76,15,1
CUST_000200,21,6,70.8,412.46,Month-to-month,Bank transfer,DSL,1,5.2,5.05,9,0
CUST_000201,39,26,89.89,2395.38,Month-to-month,Bank transfer,Fiber optic,0,6.6,74.32,15,1
CUST_000202,41,52,79.39,4103.7,Month-to-month,Bank transfer,Fiber optic,4,2.7,51.5,18,0
CUST_000203,47,14,57.62,835.58,Month-to-month,Electronic check,DSL,0,1.4,25.51,16,1
CUST_000204,47,22,53.43,1158.01,One year,Electronic check,DSL,2,7.5,8.36,14,0
CUST_000205,18,5,72.82,461.11,One year,Credit card,Fiber optic,3,0.4,228.32,15,1
CUST_000206,23,39,79.34,3131.54,Month-to-month,Electronic check,Fiber optic,1,0.5,46.01,14,0
CUST_000207,41,72,99.95,7258.4,Month-to-month,Electronic check,Fiber optic,0,2.3,10.06,15,1
CUST_000208,41,7,94.78,634.23,Month-to-month,Bank transfer,DSL,3,1.7,21.17,17,0
CUST_000209,41,16,51.46,876.32,Month-to-month,Credit card,Fiber optic,1,3.7,4.67,8,1
CUST_000210,75,2,62.45,109.27,One year,Mailed check,DSL,2,3.7,22.69,13,1
CUST_000211,41,19,81.78,1559.24,Month-to-month,Bank transfer,DSL,1,1.0,12.62,17,0
CUST_000212,48,16,91.7,1548.95,Month-to-month,Bank transfer,Fiber optic,3,2.3,218.62,14,0
CUST_000213,46,3,88.47,213.28,One year,Electronic check,Fiber optic,4,0.0,43.03,15,1
CUST_000214,42,14,63.4,897.81,Month-to-month,Bank transfer,DSL,2,3.5,1.6,17,1
CUST_000215,31,9,33.65,324.75,One year,Credit card,Fiber optic,2,12.7,126.55,11,0
CUST_000216,44,17,40.03,706.45,One year,Credit card,Fiber optic,3,2.5,30.08,15,0
CUST_000217,25,21,71.82,1485.59,Month-to-month,Electronic check,DSL,0,8.2,93.69,15,1
CUST_000218,32,1,73.56,177.87,One year,Bank transfer,No,5,0.8,26.52,16,0
CUST_000219,29,34,37.53,1211.38,One year,Mailed check,Fiber optic,1,0.1,23.38,12,0
CUST_000220,35,29,66.11,1990.26,Month-to-month,Electronic check,Fiber optic,3,5.5,8.72,10,1
CUST_000221,62,10,80.78,868.56,One year,Bank transfer,Fiber optic,0,5.0,38.61,17,0
CUST_000222,18,1,36.22,131.26,Two year,Electronic check,Fiber optic,3,1.7,59.68,21,1
CUST_000223,43,33,92.62,2977.21,Two year,Mailed check,Fiber optic,3,2.7,3.48,8,0
CUST_000224,18,72,55.56,3957.0,One year,Electronic check,DSL,3,0.2,8.85,10,0
CUST_000225,29,6,96.44,653.24,Two year,Mailed check,DSL,1,12.8,5.86,11,1
CUST_000226,48,9,51.66,371.12,Month-to-month,Mailed check,No,3,2.9,119.69,13,1
CUST_000227,35,4,39.33,77.01,One year,Mailed check,Fiber optic,0,2.0,61.61,21,1
CUST_000228,22,20,53.55,1046.52,Month-to-month,Bank transfer,DSL,1,13.1,14.02,17,1
CUST_000229,26,4,62.62,260.08,Month-to-month,Electronic check,DSL,2,0.3,58.89,16,1
CUST_000230,43,10,55.29,632.49,One year,Bank transfer,Fiber optic,2,2.7,5.11,17,0
CUST_000231,26,28,59.6,1659.54,One year,Credit card,DSL,1,2.4,27.24,17,1
CUST_000232,37,19,73.35,1363.22,Month-to-month,Electronic check,Fiber optic,1,2.4,51.12,15,0
CUST_000233,35,11,60.72,683.5,One year,Bank transfer,DSL,2,0.1,11.7,12,0
CUST_000234,27,13,63.35,846.99,Month-to-month,Bank transfer,Fiber optic,1,21.8,19.92,18,0
CUST_000235,60,19,22.27,445.18,Month-to-month,Bank transfer,DSL,2,16.0,33.22,8,1
CUST_000236,42,1,74.79,74.79,Month-to-month,Mailed check,Fiber optic,2,4.3,63.68,9,0
CUST_000237,18,1,62.77,62.77,Month-to-month,Bank transfer,Fiber optic,2,4.7,4.37,10,1
CUST_000238,37,51,105.26,5322.24,Month-to-month,Electronic check,Fiber optic,1,5.9,16.93,18,0
CUST_000239,27,1,41.51,112.52,One year,Mailed check,DSL,2,5.2,8.01,16,1
CUST_000240,45,29,19.79,583.34,Month-to-month,Bank transfer,DSL,0,12.1,34.72,15,1
CUST_000241,25,60,80.45,4810.98,Month-to-month,Electronic check,DSL,1,5.4,14.77,16,0
CUST_000242,33,7,73.66,571.55,One year,Bank transfer,Fiber optic,1,1.7,45.36,12,0
CUST_000243,41,11,39.79,381.18,One year,Bank transfer,Fiber optic,6,1.0,5.24,14,0
CUST_000244,45,20,26.76,523.86,Month-to-month,Credit card,DSL,1,20.0,12.5,28,0
CUST_000245,20,51,103.43,5282.07,Month-to-month,Electronic check,Fiber optic,1,0.4,148.95,16,0
CUST_000246,30,68,100.35,6801.92,Month-to-month,Credit card,Fiber optic,1,18.2,16.39,20,0
CUST_000247,29,32,15.0,485.04,One year,Bank transfer,Fiber optic,7,9.4,59.26,16,0
CUST_000248,27,2,53.54,97.7,Two year,Mailed check,DSL,1,4.1,6.98,14,0
CUST_000249,56,26,106.6,2701.76,One year,Electronic check,Fiber optic,1,1.7,4.54,7,0
CUST_000250,39,12,53.1,646.26,Month-to-month,Bank transfer,Fiber optic,2,3.0,81.88,14,1
CUST_000251,19,15,52.73,724.6,One year,Credit card,No,2,6.0,44.96,15,0
CUST_000252,46,1,57.93,66.21,Month-to-month,Bank transfer,DSL,3,8.6,13.23,14,1
CUST_000253,60,5,36.98,253.59,Month-to-month,Bank transfer,No,2,9.4,102.94,11,1
CUST_000254,47,37,22.38,814.03,Month-to-month,Mailed check,DSL,2,4.7,10.79,20,0
CUST_000255,18,14,91.31,1219.82,One year,Mailed check,Fiber optic,2,3.7,8.53,10,0
CUST_000256,29,8,18.93,145.06,One year,Electronic check,Fiber optic,2,11.7,20.4,22,0
CUST_000257,50,11,71.18,741.4,One year,Bank transfer,Fiber optic,0,20.8,15.33,10,0
CUST_000258,26,46,87.16,4039.29,One year,Mailed check,Fiber optic,2,19.7,6.3,18,0
CUST_000259,40,33,28.72,940.34,Month-to-month,Electronic check,DSL,2,6.4,17.86,13,1
CUST_000260,44,7,41.89,378.74,Month-to-month,Mailed check,No,2,0.7,25.85,14,0
CUST_000261,23,2,95.33,248.81,One year,Credit card,Fiber optic,2,0.6,46.06,16,0
CUST_000262,34,6,78.32,462.28,One year,Bank transfer,No,3,4.1,286.68,16,0
CUST_000263,18,60,49.57,3009.85,One year,Electronic check,DSL,2,10.6,68.34,6,0
CUST_000264,22,20,95.06,1881.46,Month-to-month,Credit card,Fiber optic,2,5.5,6.96,18,1
CUST_000265,31,18,95.16,1714.64,One year,Electronic check,Fiber optic,1,7.9,305.76,15,1
CUST_000266,20,21,71.73,1488.18,Month-to-month,Electronic check,Fiber optic,1,14.8,21.13,15,0
CUST_000267,54,10,42.5,463.28,One year,Electronic check,Fiber optic,1,0.3,27.99,13,0
CUST_000268,18,39,54.66,2203.54,Month-to-month,Electronic check,DSL,1,20.6,10.18,13,0
CUST_000269,29,17,72.16,1266.65,Two year,Electronic check,DSL,1,3.2,19.91,15,0
CUST_000270,36,2,60.29,166.67,Month-to-month,Bank transfer,Fiber optic,3,0.4,19.59,18,0
CUST_000271,52,3,88.47,311.57,One year,Bank transfer,Fiber optic,1,14.4,39.67,14,1
CUST_000272,18,18,26.76,509.16,One year,Bank transfer,DSL,2,21.8,49.8,17,0
CUST_000273,48,66,27.64,1767.5,Month-to-month,Bank transfer,Fiber optic,1,11.7,13.74,14,0
CUST_000274,35,8,69.52,641.22,Month-to-month,Credit card,Fiber optic,0,13.1,66.17,10,1
CUST_000275,23,48,52.71,2620.37,One year,Electronic check,Fiber optic,0,16.4,11.64,13,0
CUST_000276,40,34,49.32,1665.31,Month-to-month,Bank transfer,DSL,1,5.9,61.34,13,0
CUST_000277,37,6,20.8,106.26,Month-to-month,Bank transfer,Fiber optic,5,9.1,10.41,8,0
CUST_000278,27,1,65.49,96.11,Two year,Credit card,Fiber optic,4,2.7,6.47,14,0
